method,store,variable,source_id,experiment_id,msft_val,osn_data_val,osn_rechunked_val,classification
DeepSD,CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.DeepSD.pr.zarr,pr,CanESM5,historical,0.0,0.0,0.0,ok
DeepSD,CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.DeepSD.tasmax.zarr,tasmax,CanESM5,historical,297.83514404296875,297.83514404296875,nan,bad_rechunk
DeepSD,CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.DeepSD.tasmin.zarr,tasmin,CanESM5,historical,297.4331970214844,297.4331970214844,nan,bad_rechunk
DeepSD,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.DeepSD.pr.zarr,pr,MRI-ESM2-0,historical,4.1254119873046875,4.1254119873046875,4.1254119873046875,ok
DeepSD,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.DeepSD.tasmax.zarr,tasmax,MRI-ESM2-0,historical,300.58551025390625,300.58551025390625,nan,bad_rechunk
DeepSD,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.DeepSD.tasmin.zarr,tasmin,MRI-ESM2-0,historical,,298.7703857421875,nan,bad_rechunk
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.DeepSD.pr.zarr,pr,CanESM5,ssp245,0.9723596572875977,0.9723596572875977,0.9723596572875977,ok
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.DeepSD.tasmax.zarr,tasmax,CanESM5,ssp245,301.4004821777344,301.4004821777344,nan,bad_rechunk
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.DeepSD.tasmin.zarr,tasmin,CanESM5,ssp245,299.5939025878906,299.5939025878906,299.5939025878906,ok
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.DeepSD.pr.zarr,pr,CanESM5,ssp370,1.1086031198501587,1.1086031198501587,1.1086031198501587,ok
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.DeepSD.tasmax.zarr,tasmax,CanESM5,ssp370,301.36126708984375,301.36126708984375,nan,bad_rechunk
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.DeepSD.tasmin.zarr,tasmin,CanESM5,ssp370,299.5826110839844,299.5826110839844,nan,bad_rechunk
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.DeepSD.pr.zarr,pr,CanESM5,ssp585,1.1161218881607056,1.1161218881607056,1.1161218881607056,ok
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.DeepSD.tasmax.zarr,tasmax,CanESM5,ssp585,301.3591613769531,301.3591613769531,301.3591613769531,ok
DeepSD,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.DeepSD.tasmin.zarr,tasmin,CanESM5,ssp585,299.60980224609375,299.60980224609375,nan,bad_rechunk
